Method,Total Cost ($),Cost Reduction (%),Discomfort (°C·h),Comfort Improvement (%),Switching Count,Cycle Reduction (%),Peak Load (kW),Peak Reduction (%),Short-Cycling Events,Energy (kWh),CO₂ (kg)
Baseline Thermostat,4.82,-,2.15,-,48,-,3.00,-,18,28.50,1.140
PI-DRL Agent,3.47,28.0,1.83,14.9,16,66.7,2.10,30.0,0,21.80,0.870
