Metric,Unit,"Baseline
(Thermostat)","DRL
(No Cycling Penalty)","PI-DRL
(With Cycling Penalty)","DRL vs Baseline
(% Change)","PI-DRL vs Baseline
(% Change)"
Total Energy Cost,USD ($),$26.36,$26.36,$26.35,+0.0%,-0.0%
Thermal Discomfort,Degree-Hours,76106.74,75954.81,76152.35,-0.2%,+0.1%
Equipment Switching Cycles,Count,1,1,1,+0.0%,+0.0%
Average Cycle Duration,minutes,0.0,0.0,0.0,+nan%,+nan%
Short-Cycling Violations,Count,1,1,1,+0%,+0%
Peak Load,kW,2.45,1.85,1.88,-24.6%,-23.2%
