parameter,value,cost,discomfort,cycles,avg_cycle_duration,short_cycling_violations,peak_load
C,0.2,10.486225482292753,30156.37003821776,1,0.0,1,1.8658549154837574
C,0.3,10.488810548598043,30784.519738937553,1,0.0,1,1.7987927923050389
C,0.4,10.470853039923176,31008.787991181714,1,0.0,1,2.0547301594654255
C,0.5,10.475443593482375,31083.712116467806,1,0.0,1,1.8708855549935737
C,0.6,10.46107767055335,31279.085114474048,1,0.0,1,1.8204101758275453
C,0.7,10.420184276481349,31185.32299029444,1,0.0,1,1.8051983858117202
C,0.8,10.46710722114865,31207.155326151827,1,0.0,1,1.9027612211832998
