parameter,value,cost,discomfort,cycles,avg_cycle_duration,short_cycling_violations,peak_load
R,0.02,10.466770618647056,31449.644707916574,1,0.0,1,2.0162285513798786
R,0.03,10.461254371231984,31436.286308130577,1,0.0,1,1.9871638195542811
R,0.04,10.487184684263042,31272.92182961869,1,0.0,1,1.8141200440078038
R,0.05,10.434216394613358,31098.72925351945,1,0.0,1,1.6850793800240391
R,0.06,10.469505685740264,30929.612829956044,1,0.0,1,1.985595150051194
R,0.07,10.465599718429528,30710.53902308885,1,0.0,1,1.8704791350226457
R,0.08,10.458302647162004,30684.219635925212,1,0.0,1,1.8939569980878395
